Genotype	Deletions	Plant	LeafLength	Nod	PinkNod	GreenNod
HM340	0gene	34	NA	1.269	0.988	0
HM340	0gene	34	NA	0.918	0.79	0
HM340	0gene	34	NA	1.07	0.74	0
HM340	0gene	34	NA	0.502	0.545	0
HM340	0gene	34	NA	1.037	0.594	0
HM340	0gene	34	NA	0.801	0.498	0
HM340	0gene	34	NA	0.669	0	0
HM340	0gene	35	13.039	1.145	0.526	0.618
HM340	0gene	35	26.816	1.137	0.384	1.102
HM340	0gene	35	23.8	0.596	0.436	0
HM340	0gene	35	41.561	0.616	0.51	0
HM340	0gene	35	52.055	0.653	0.73	0
HM340	0gene	35	52.066	0.854	0.389	0
HM340	0gene	35	63.872	0.189	0.329	0
HM340	0gene	35	NA	0.468	0.531	0
HM340	0gene	35	NA	0.427	0.884	0
HM340	0gene	35	NA	0.776	0.857	0
HM340	0gene	35	NA	1.165	0.617	0
HM340	0gene	35	NA	1.024	0.735	0
HM340	0gene	35	NA	0.872	0.599	0
HM340	0gene	35	NA	0.974	0.431	0
HM340	0gene	35	NA	0.727	0.927	0
HM340	0gene	35	NA	0.745	1.195	0
HM340	0gene	35	NA	1.228	1.07	0
HM340	0gene	35	NA	1.408	0.364	0
HM340	0gene	35	NA	1.266	0.408	0
HM340	0gene	35	NA	0.571	0.262	0
HM340	0gene	35	NA	0.681	0.384	0
HM340	0gene	35	NA	0.399	0.999	0
HM340	0gene	35	NA	0.612	0.972	0
HM340	0gene	35	NA	1.151	1.313	0
HM340	0gene	35	NA	1.241	0.096	0
HM340	0gene	35	NA	1.58	0	0
HM340	0gene	35	NA	0.596	0	0
HM340	0gene	36	15.437	1.62	0.803	0.236
HM340	0gene	36	35.366	2.042	1.648	0.197
HM340	0gene	36	28.187	1.126	0.605	0.604
HM340	0gene	36	36.134	0.711	0.272	0.724
HM340	0gene	36	NA	0.747	1.174	0
HM340	0gene	36	NA	1.022	0	0
HM340	0gene	36	NA	1.681	0	0
HM340	0gene	37	16.844	0.434	0.206	0.93
HM340	0gene	37	34.984	4.882	3.241	0.437
HM340	0gene	37	27.609	0.871	0.296	0.215
HM340	0gene	37	24.201	0.684	0.247	0
HM340	0gene	37	55.209	0.503	0.333	0
HM340	0gene	37	48.853	0.293	0.287	0
HM340	0gene	37	46.732	0.841	0.601	0
HM340	0gene	37	53.114	0.331	0.245	0
HM340	0gene	37	NA	0.513	0.796	0
HM340	0gene	37	NA	0.483	0.718	0
HM340	0gene	37	NA	1.041	1.068	0
HM340	0gene	37	NA	0.995	1.116	0
HM340	0gene	37	NA	1.321	0.43	0
HM340	0gene	37	NA	1.371	0.824	0
HM340	0gene	37	NA	0.648	0	0
HM340	0gene	37	NA	1.07	0	0
HM340	0gene	38	13.852	3.053	2.425	0.185
HM340	0gene	38	25.057	1.988	0.202	0.193
HM340	0gene	38	35.308	0.481	1.285	0.12
HM340	0gene	38	38.471	2.588	2.013	0
HM340	0gene	38	52.554	2.415	1.86	0
HM340	0gene	38	45.3	2.984	2.262	0
HM340	0gene	38	56.103	2.085	1.884	0
HM340	0gene	38	NA	2.133	1.845	0
HM340	0gene	38	NA	1.821	1.44	0
HM340	0gene	38	NA	1.879	1.584	0
HM340	0gene	38	NA	0.678	0.28	0
HM340	0gene	38	NA	1.468	1.248	0
HM340	0gene	38	NA	1.902	1.903	0
tRNA18.1	1gene	1	10.295	0.772	0.558	0
tRNA18.1	1gene	1	20.165	0.928	0.656	0
tRNA18.1	1gene	1	40.707	0.328	0.147	0
tRNA18.1	1gene	1	30.143	0.979	0.391	0
tRNA18.1	1gene	1	47.293	0.735	0.371	0
tRNA18.1	1gene	1	NA	0.606	0.242	0
tRNA18.1	1gene	1	NA	0.232	0.287	0
tRNA18.1	1gene	1	NA	0.445	0.043	0
tRNA18.1	1gene	1	NA	0.339	0.115	0
tRNA18.1	1gene	1	NA	0.395	0.417	0
tRNA18.1	1gene	1	NA	0.866	0.151	0
tRNA18.1	1gene	1	NA	0.643	0.554	0
tRNA18.1	1gene	1	NA	1.354	0.351	0
tRNA18.1	1gene	1	NA	0.749	0.711	0
tRNA18.1	1gene	1	NA	1.138	0	0
tRNA18.1	1gene	3	6.972	0.361	0.22	0
tRNA18.1	1gene	3	31.637	0.689	0.4	0
tRNA18.1	1gene	3	21.366	0.693	0.807	0
tRNA18.1	1gene	3	33.278	1.246	0.928	0
tRNA18.1	1gene	3	42.12	1.341	1.098	0
tRNA18.1	1gene	3	NA	1.319	0.824	0
tRNA18.1	1gene	3	NA	1.093	1.048	0
tRNA18.1	1gene	3	NA	1.343	0.881	0
tRNA18.1	1gene	3	NA	1.159	1.393	0
tRNA18.1	1gene	3	NA	1.858	0.353	0
tRNA18.1	1gene	3	NA	0.972	0.413	0
tRNA18.1	1gene	3	NA	0.74	0.396	0
tRNA18.1	1gene	3	NA	0.793	0.112	0
tRNA18.1	1gene	3	NA	0.826	0.261	0
tRNA18.1	1gene	3	NA	0.741	0.394	0
tRNA18.1	1gene	3	NA	0.728	0	0
tRNA18.1	1gene	3	NA	0.281	0	0
tRNA18.1	1gene	3	NA	0.965	0	0
tRNA18.1	1gene	3	NA	0.476	0	0
tRNA18.1	1gene	3	NA	0.195	0	0
tRNA18.1	1gene	7	18.168	1.158	0.933	0.993
tRNA18.1	1gene	7	37.933	0.637	0.417	1.11
tRNA18.1	1gene	7	28.875	0.881	0.672	0.924
tRNA18.1	1gene	7	35.516	1.134	0.525	0
tRNA18.1	1gene	7	43.231	0.731	0.698	0
tRNA18.1	1gene	7	NA	1.177	0.32	0
tRNA18.1	1gene	7	NA	0.488	0.708	0
tRNA18.1	1gene	7	NA	1.218	0.169	0
tRNA18.1	1gene	7	NA	0.407	0.453	0
tRNA18.1	1gene	7	NA	1.231	0.766	0
tRNA18.1	1gene	7	NA	0.914	0.103	0
tRNA18.1	1gene	7	NA	1.076	0.069	0
tRNA18.1	1gene	7	NA	1.435	0.847	0
tRNA18.1	1gene	7	NA	0.459	1.058	0
tRNA18.1	1gene	7	NA	0.4	0.612	0
tRNA18.1	1gene	7	NA	1.166	0.893	0
tRNA18.1	1gene	7	NA	1.238	0.415	0
tRNA18.1	1gene	7	NA	0.789	0.949	0
tRNA18.1	1gene	7	NA	1.122	0.288	0
tRNA18.1	1gene	7	NA	0.596	0	0
tRNA18.1	1gene	7	NA	1.657	0	0
tRNA18.1	1gene	7	NA	0.646	0	0
tRNA18.1	1gene	11	11.679	1.79	0.611	0.765
tRNA18.1	1gene	11	18.647	0.894	1.266	0
tRNA18.1	1gene	11	21.956	1.634	0.659	0
tRNA18.1	1gene	11	35.045	1.296	0.259	0
tRNA18.1	1gene	11	44.178	1.213	1.052	0
tRNA18.1	1gene	11	45.114	1.077	1.006	0
tRNA18.1	1gene	11	NA	0.462	0.913	0
tRNA18.1	1gene	11	NA	0.978	0.309	0
tRNA18.1	1gene	11	NA	1.568	0.879	0
tRNA18.1	1gene	11	NA	0.859	0.502	0
tRNA18.1	1gene	11	NA	1.403	1.12	0
tRNA18.1	1gene	11	NA	1.293	0.607	0
tRNA18.1	1gene	11	NA	1.686	0.948	0
tRNA18.1	1gene	11	NA	0.763	0.245	0
tRNA18.1	1gene	11	NA	0.468	0.58	0
tRNA18.1	1gene	11	NA	0.928	0.954	0
tRNA18.1	1gene	11	NA	1.323	0	0
tRNA18.1	1gene	11	NA	0.321	0	0
tRNA18.1	1gene	16	9.453	1.251	0.862	0.35
tRNA18.1	1gene	16	14.469	0.537	1.042	0.603
tRNA18.1	1gene	16	24.434	1.212	0.177	0.734
tRNA18.1	1gene	16	32.361	0.829	0.738	0
tRNA18.1	1gene	16	46.511	0.92	0.555	0
tRNA18.1	1gene	16	45.779	0.547	0.659	0
tRNA18.1	1gene	16	NA	0.513	1.174	0
tRNA18.1	1gene	16	NA	0.361	0.57	0
tRNA18.1	1gene	16	NA	1.353	0.207	0
tRNA18.1	1gene	16	NA	1.029	0	0
tRNA18.1	1gene	16	NA	0.432	0	0
tRNA18.1	1gene	16	NA	1.099	0	0
tRNA18.1	1gene	16	NA	1.435	0	0
tRNA18.1	1gene	16	NA	0.885	0	0
tRNA18.1	1gene	16	NA	0.362	0	0
Gm12.7	2gene	3	18.082	1.724	1.162	0
Gm12.7	2gene	3	32.218	2.638	1.805	0
Gm12.7	2gene	3	38.994	0.45	1.963	0
Gm12.7	2gene	3	46.165	2.217	1.506	0
Gm12.7	2gene	3	55.637	1.922	1.077	0
Gm12.7	2gene	3	NA	1.486	0.428	0
Gm12.7	2gene	3	NA	0.76	1.082	0
Gm12.7	2gene	3	NA	1.349	0	0
Gm12.7	2gene	4	10.996	1.543	1.172	0
Gm12.7	2gene	4	19.783	1.82	0.941	0
Gm12.7	2gene	4	32.884	1.981	1.549	0
Gm12.7	2gene	4	43.217	0.739	1.763	0
Gm12.7	2gene	4	40.997	1.01	0.784	0
Gm12.7	2gene	4	NA	2.12	0.986	0
Gm12.7	2gene	4	NA	1.379	0.877	0
Gm12.7	2gene	4	NA	1.387	0	0
Gm12.7	2gene	5	10.684	0.666	1.786	0.587
Gm12.7	2gene	5	17.013	0.315	1.141	0
Gm12.7	2gene	5	26.657	2.166	1.808	0
Gm12.7	2gene	5	28.878	1.46	0.276	0
Gm12.7	2gene	5	NA	2.064	0	0
Gm12.7	2gene	5	NA	0.158	0	0
Gm12.7	2gene	5	NA	0.132	0	0
Gm12.7	2gene	5	NA	0.581	0	0
Gm12.7	2gene	5	NA	0.353	0	0
Gm12.7	2gene	5	NA	0.148	0	0
Gm12.7	2gene	6	13.177	2.722	2.193	0.219
Gm12.7	2gene	6	18.934	0.22	0.107	0.136
Gm12.7	2gene	6	24.186	0.521	0.16	0.519
Gm12.7	2gene	6	32.975	1.5	0.679	0
Gm12.7	2gene	6	38.134	1.792	1.349	0
Gm12.7	2gene	6	51.956	1.49	1.209	0
Gm12.7	2gene	6	56.852	0.899	0.722	0
Gm12.7	2gene	6	NA	1.541	1.182	0
Gm12.7	2gene	6	NA	1.56	1.289	0
Gm12.7	2gene	6	NA	1.214	1.02	0
Gm12.7	2gene	6	NA	1.311	1.092	0
Gm12.7	2gene	6	NA	0.592	0.867	0
Gm12.7	2gene	6	NA	1.394	0.944	0
Gm12.7	2gene	6	NA	1.223	0.807	0
Gm12.7	2gene	6	NA	0.414	1.13	0
Gm12.7	2gene	6	NA	0.972	0	0
Gm12.7	2gene	6	NA	1.232	0	0
Gm12.7	2gene	10	9.372	1.528	1.128	0.2
Gm12.7	2gene	10	15.745	2.208	1.504	0.209
Gm12.7	2gene	10	32.068	0.887	0.836	0
Gm12.7	2gene	10	30.95	0.76	0.7	0
Gm12.7	2gene	10	NA	0.751	0.606	0
Gm12.7	2gene	10	NA	1.194	1.077	0
Gm12.7	2gene	11	9.194	0.362	0.135	0.171
Gm12.7	2gene	11	18.623	0.857	0.61	0.191
Gm12.7	2gene	11	19.53	0.99	0.451	0.109
Gm12.7	2gene	11	39.084	1.429	0.892	0.261
Gm12.7	2gene	11	33.6	1.459	0.924	0
Gm12.7	2gene	11	40.66	2.011	1.469	0
Gm12.7	2gene	11	NA	0.788	0.556	0
Gm12.7	2gene	11	NA	1.106	0.93	0
Gm12.7	2gene	11	NA	1.847	1.591	0
Gm12.7	2gene	11	NA	0.906	0.229	0
Gm12.7	2gene	11	NA	0.426	0.31	0
Gm12.7	2gene	11	NA	0.261	0	0
Gm12.7	2gene	12	19.601	1.836	1.617	0.666
Gm12.7	2gene	12	27.143	3.698	2.724	0
Gm12.7	2gene	12	39.394	0.387	1.288	0
Gm12.7	2gene	12	46.402	1.018	0.881	0
Gm12.7	2gene	12	33.778	1.727	1.395	0
Gm12.7	2gene	12	NA	1.156	1.298	0
Gm12.7	2gene	12	NA	1.667	0.868	0
Gm12.7	2gene	12	NA	1.487	0	0
Gm12.7	2gene	12	NA	1.154	0	0
Gm12.7	2gene	13	8.978	1.172	0.944	0.556
Gm12.7	2gene	13	19.211	1.932	1.806	1.034
Gm12.7	2gene	13	31.811	2.271	0	0
Gm12.7	2gene	13	20.401	0.673	0	0
Gm12.7	2gene	13	36.105	NA	NA	NA
Gm12.7	2gene	14	8.486	0.262	0.186	0
Gm12.7	2gene	14	16.153	1.443	1.219	0
Gm12.7	2gene	14	19.626	0.396	0.295	0
Gm12.7	2gene	14	24.17	0.439	0.151	0
Gm12.7	2gene	14	NA	0.317	1.229	0
Gm12.7	2gene	14	NA	1.606	0.263	0
Gm12.7	2gene	14	NA	0.604	0	0
Gm12.7	2gene	15	22.723	0.771	0.634	0.535
Gm12.7	2gene	15	11.198	2.137	1.297	0.294
Gm12.7	2gene	15	34.305	0.509	0.351	0
Gm12.7	2gene	15	45.768	1.569	1.397	0
Gm12.7	2gene	15	44.028	2.181	1.313	0
Gm12.7	2gene	15	NA	1.327	0.843	0
Gm12.7	2gene	15	NA	1.523	1.162	0
Gm12.7	2gene	15	NA	1.117	0.976	0
Gm12.7	2gene	16	25.433	1.78	1.48	1.028
Gm12.7	2gene	16	15.608	0.605	0.505	0
Gm12.7	2gene	16	27.036	1.83	0.323	0
Gm12.7	2gene	16	43.707	0.652	0.404	0
Gm12.7	2gene	16	39.188	0.952	0.741	0
Gm12.7	2gene	16	NA	1.663	1.397	0
Gm12.7	2gene	16	NA	0.558	1.032	0
Gm12.7	2gene	16	NA	1.709	1.18	0
Gm12.7	2gene	16	NA	1.447	0	0
Gm12.7	2gene	16	NA	0.513	0	0
Gm12.7	2gene	17	12.137	0.696	0.362	1.366
Gm12.7	2gene	17	19.038	2.002	0.175	0
Gm12.7	2gene	17	22.917	1.347	0.895	0
Gm12.7	2gene	17	29.432	1.924	1.617	0
Gm12.7	2gene	17	37.909	1.446	1.001	0
Gm12.7	2gene	17	43.765	1.878	1.619	0
Gm12.7	2gene	17	NA	1.58	1.21	0
Gm12.7	2gene	17	NA	1.489	1.219	0
Gm12.7	2gene	17	NA	1.414	0.931	0
Gm12.7	2gene	18	33.75	3.056	2.121	0.248
Gm12.7	2gene	18	16.824	1.064	0.853	0
Gm12.7	2gene	18	24.107	1.105	0.949	0
Gm12.7	2gene	18	41.307	2.227	1.864	0
Gm12.7	2gene	18	45.937	2.093	1.694	0
Gm12.7	2gene	18	NA	0.824	0.202	0
Gm12.7	2gene	18	NA	0.738	0.52	0
Gm12.7	2gene	18	NA	0.775	0.606	0
Gm12.7	2gene	18	NA	1.539	1.436	0
Gm12.7	2gene	18	NA	1.403	1.293	0
Gm12.7	2gene	19	9.425	1.88	1.078	0.583
Gm12.7	2gene	19	16.322	2.235	0.981	0.805
Gm12.7	2gene	19	30.145	0.665	0.364	0
Gm12.7	2gene	19	39.91	0.865	0.659	0
Gm12.7	2gene	19	47.269	1.918	1.527	0
Gm12.7	2gene	19	48.145	1.36	1.058	0
Gm12.7	2gene	19	NA	0.873	0.664	0
Gm12.7	2gene	19	NA	1.457	1.087	0
Gm12.7	2gene	19	NA	1.749	1.476	0
Gm12.7	2gene	19	NA	1.733	1.322	0
Gm12.7	2gene	19	NA	1.894	1.613	0
Gm12.7	2gene	20	11.846	2.067	1.383	0.44
Gm12.7	2gene	20	13.701	1.631	0.721	0.499
Gm12.7	2gene	20	32.093	2.503	1.405	0.639
Gm12.7	2gene	20	32.387	0.746	0.554	0
Gm12.7	2gene	20	39.175	1.561	1.281	0
Gm12.7	2gene	20	NA	0.848	0.618	0
Gm12.7	2gene	20	NA	1.429	1.158	0
Gm12.7	2gene	20	NA	1.256	1.012	0
Gm12.7	2gene	21	11.574	0.332	1.119	0
Gm12.7	2gene	21	39.03	1.505	3.108	0
Gm12.7	2gene	21	22.933	3.45	2.217	0
Gm12.7	2gene	21	18.907	2.568	1.267	0
Gm12.7	2gene	21	26.205	1.512	0.511	0
Gm12.7	2gene	21	41.591	0.874	0.716	0
Gm12.7	2gene	21	NA	0.984	1.194	0
Gm12.7	2gene	21	NA	1.017	0.345	0
Gm12.7	2gene	21	NA	0.792	0	0
Gm12.7	2gene	21	NA	0.361	0	0
Gm12.7	2gene	21	NA	0.664	0	0
Gm12.7	2gene	22	8.753	0.547	0.332	0.474
Gm12.7	2gene	22	16.273	1.535	0.485	0.42
Gm12.7	2gene	22	27.125	0.481	0.277	0.461
Gm12.7	2gene	22	38.104	1.666	1.018	0
Gm12.7	2gene	22	40.432	1.181	0.86	0
Gm12.7	2gene	22	NA	0.883	0.715	0
Gm12.7	2gene	22	NA	1.342	0.973	0
Gm12.7	2gene	22	NA	1.369	1.098	0
Gm12.7	2gene	22	NA	1.254	1.014	0
Gm12.7	2gene	22	NA	1.609	1.376	0
Gm12.7	2gene	22	NA	2.433	1.214	0
Gm12.7	2gene	22	NA	0.146	0	0
Gm12.7	2gene	22	NA	0.23	0	0
Gm12.7	2gene	23	8.455	0.524	0.963	0
Gm12.7	2gene	23	4.42	1.524	0.356	0
Gm12.7	2gene	23	26.967	0.971	0.101	0
Gm12.7	2gene	23	21.733	0.598	0.811	0
Gm12.7	2gene	23	22.945	0.219	0.417	0
Gm12.7	2gene	23	NA	0.335	0.219	0
Gm12.7	2gene	23	NA	1.021	0.231	0
Gm12.7	2gene	23	NA	0.72	0.161	0
Gm12.7	2gene	23	NA	0.324	0	0
Gm12.7	2gene	23	NA	0.566	0	0
Gm12.7	2gene	23	NA	0.485	0	0
Gm12.7	2gene	24	11.397	1.388	1.274	1.137
Gm12.7	2gene	24	17.22	1.931	0.399	0.117
Gm12.7	2gene	24	31.631	1.013	0.293	0.165
Gm12.7	2gene	24	36.495	0.575	0.973	0.128
Gm12.7	2gene	24	39.789	1.459	0.274	0.141
Gm12.7	2gene	24	NA	0.566	1.157	0
Gm12.7	2gene	24	NA	1.559	0.979	0
Gm12.7	2gene	24	NA	1.301	1.043	0
Gm12.7	2gene	24	NA	1.514	0.633	0
Gm12.7	2gene	24	NA	0.953	1.313	0
Gm12.7	2gene	24	NA	1.779	0.445	0
Gm12.7	2gene	24	NA	0.685	0.702	0
Gm12.7	2gene	24	NA	0.903	0	0
Gm12.7	2gene	24	NA	0.168	0	0
Gm12.7	2gene	24	NA	0.068	0	0
Gm12.7	2gene	25	16.053	1.388	1.115	1.514
Gm12.7	2gene	25	9.368	1.66	1.872	0
Gm12.7	2gene	25	36.269	2.289	0.928	0
Gm12.7	2gene	25	40.445	1.566	0.044	0
Gm12.7	2gene	25	47.825	0.286	1.148	0
Gm12.7	2gene	25	9.452	1.366	1.54	0
Gm12.7	2gene	25	NA	1.722	1.212	0
Gm12.7	2gene	25	NA	1.516	1.39	0
Gm12.7	2gene	25	NA	1.743	1.847	0
Gm12.7	2gene	25	NA	2.285	0	0
Gm12.7	2gene	26	10.351	1.676	1.247	0.421
Gm12.7	2gene	26	15.08	1.952	1.296	0.185
Gm12.7	2gene	26	28.35	0.326	0.802	0.161
Gm12.7	2gene	26	35.039	1.689	0.792	0
Gm12.7	2gene	26	NA	1.175	1.162	0
Gm12.7	2gene	26	NA	1.358	0	0
Gm12.7	2gene	26	NA	0.113	0	0
Gm12.7	2gene	26	NA	0.136	0	0
Gm12.7	2gene	26	NA	0.108	0	0
Gm12.7	2gene	27	21.027	0.373	0.067	0
Gm12.7	2gene	27	24.345	0.22	0.278	0
Gm12.7	2gene	27	NA	0.506	0	0
Gm12.7	2gene	27	NA	0.334	0	0
Gm12.7	2gene	27	NA	0.379	0	0
Gm12.7	2gene	27	NA	0.367	0	0
Gm12.7	2gene	27	NA	0.376	0	0
Gm12.7	2gene	27	NA	0.533	0	0
Gm12.7	2gene	27	NA	0.356	0	0
Gm12.7	2gene	27	NA	0.072	0	0
Gm12.7	2gene	27	NA	0.15	0	0
Gm12.7	2gene	27	NA	0.38	0	0
Gm12.7	2gene	27	NA	0.292	0	0
Gm12.7	2gene	27	NA	0.397	0	0
Gm12.7	2gene	27	NA	0.253	0	0
Gm12.7	2gene	27	NA	0.332	0	0
Gm12.7	2gene	27	NA	0.283	0	0
Gm12.7	2gene	27	NA	0.292	0	0
Gm12.7	2gene	27	NA	0.173	0	0
Gm12.7	2gene	27	NA	0.125	0	0
Gm12.7	2gene	27	NA	0.23	0	0
Gm12.7	2gene	27	NA	0.348	0	0
Gm12.7	2gene	27	NA	0.417	0	0
Gm12.7	2gene	27	NA	0.348	0	0
Gm12.7	2gene	27	NA	0.366	0	0
Gm12.7	2gene	27	NA	0.179	0	0
Gm12.7	2gene	27	NA	0.22	0	0
Gm12.7	2gene	27	NA	0.275	0	0
Gm12.7	2gene	27	NA	0.422	0	0
Gm12.7	2gene	27	NA	0.305	0	0
Gm12.7	2gene	27	NA	0.324	0	0
Gm12.7	2gene	27	NA	0.257	0	0
Gm12.7	2gene	27	NA	0.343	0	0
Gm12.7	2gene	27	NA	0.239	0	0
Gm12.7	2gene	27	NA	0.312	0	0
Gm12.7	2gene	27	NA	0.328	0	0
Gm12.7	2gene	27	NA	0.197	0	0
Gm12.7	2gene	27	NA	0.365	0	0
Gm12.7	2gene	27	NA	0.158	0	0
Gm12.7	2gene	27	NA	0.186	0	0
Gm12.7	2gene	27	NA	0.239	0	0
Gm12.7	2gene	27	NA	0.421	0	0
Gm12.7	2gene	27	NA	0.353	0	0
Gm12.7	2gene	27	NA	0.367	0	0
Gm12.7	2gene	27	NA	0.447	0	0
Gm12.7	2gene	27	NA	0.276	0	0
Gm12.7	2gene	27	NA	0.159	0	0
Gm12.7	2gene	28	9.584	1.376	0.728	0.353
Gm12.7	2gene	28	21.765	2.181	1.304	0.302
Gm12.7	2gene	28	35.801	1.727	1.051	0.138
Gm12.7	2gene	28	38.493	1.038	0.876	0.083
Gm12.7	2gene	28	43.308	0.876	0.682	0
Gm12.7	2gene	28	NA	0.525	0.699	0
Gm12.7	2gene	28	NA	0.968	0.382	0
Gm12.7	2gene	28	NA	0.634	0.846	0
Gm12.7	2gene	28	NA	1.003	0.687	0
Gm12.7	2gene	28	NA	0.878	0.57	0
Gm12.7	2gene	28	NA	0.678	0	0
Gm12.7	2gene	29	11.835	1.213	1.143	1.19
Gm12.7	2gene	29	18.325	1.881	0.863	0.591
Gm12.7	2gene	29	30.809	1.037	0.844	0.183
Gm12.7	2gene	29	46.034	1.175	0.693	0
Gm12.7	2gene	29	44.957	0.903	0.177	0
Gm12.7	2gene	29	54.65	0.656	0.143	0
Gm12.7	2gene	29	NA	0.308	1.073	0
Gm12.7	2gene	29	NA	0.324	0.419	0
Gm12.7	2gene	29	NA	0.37	0.957	0
Gm12.7	2gene	29	NA	1.358	0.593	0
Gm12.7	2gene	29	NA	0.806	0.267	0
Gm12.7	2gene	29	NA	1.301	0.763	0
Gm12.7	2gene	29	NA	0.854	1.143	0
Gm12.7	2gene	29	NA	0.449	0	0
Gm12.7	2gene	29	NA	0.998	0	0
Gm12.7	2gene	29	NA	1.261	0	0
Gm12.7	2gene	30	7.461	1.735	1.186	0.223
Gm12.7	2gene	30	16.3	1.593	0.459	0.684
Gm12.7	2gene	30	28.738	1.275	0.574	0.37
Gm12.7	2gene	30	38.369	0.702	0.565	0
Gm12.7	2gene	30	39.361	1.597	1.282	0
Gm12.7	2gene	30	NA	0.507	0	0
Gm12.7	2gene	30	NA	0.619	0	0
Gm12.7	2gene	30	NA	0.408	0	0
Gm12.7	2gene	31	9.899	1.107	0.417	0.536
Gm12.7	2gene	31	21.437	1.05	0.244	0.936
Gm12.7	2gene	31	30.579	1.184	0.874	0.717
Gm12.7	2gene	31	41.098	1.038	1.839	0
Gm12.7	2gene	31	29.764	2.151	1.457	0
Gm12.7	2gene	31	51.845	1.683	0.553	0
Gm12.7	2gene	31	NA	0.97	0.514	0
Gm12.7	2gene	31	NA	0.646	0.797	0
Gm12.7	2gene	31	NA	0.741	0.875	0
Gm12.7	2gene	31	NA	1.039	1.179	0
Gm12.7	2gene	31	NA	1.48	0	0
Gm12.7	2gene	32	14.985	2.123	1.08	0.618
Gm12.7	2gene	32	7.716	1.769	1.522	0
Gm12.7	2gene	32	18.467	NA	NA	NA
Gm12.7	2gene	32	23.41	NA	NA	NA
Gm12.7	2gene	1	8.624	1.583	0.6	0.494
Gm12.7	2gene	1	10.97	1.024	0.612	0.19
Gm12.7	2gene	1	25.897	1.151	0.142	1.02
Gm12.7	2gene	1	43.58	0.523	0.399	0
Gm12.7	2gene	1	37.089	1.234	0.077	0
Gm12.7	2gene	1	49.363	0.682	0.817	0
Gm12.7	2gene	1	NA	0.199	2.434	0
Gm12.7	2gene	1	NA	1.061	0.688	0
Gm12.7	2gene	1	NA	2.909	0.66	0
Gm12.7	2gene	1	NA	0.874	1.119	0
Gm12.7	2gene	1	NA	0.934	3.612	0
Gm12.7	2gene	1	NA	1.356	3.019	0
Gm12.7	2gene	1	NA	3.894	3.134	0
Gm12.7	2gene	1	NA	3.327	0	0
Gm12.7	2gene	1	NA	3.547	0	0
Gm12.7	2gene	2	23.989	1.167	0.835	1.05
Gm12.7	2gene	2	19.163	1.757	0.527	0.544
Gm12.7	2gene	2	32.395	0.808	0.869	0.32
Gm12.7	2gene	2	37.459	0.505	0.623	0
Gm12.7	2gene	2	44.349	1.311	1.293	0
Gm12.7	2gene	2	42.777	0.951	1.408	0
Gm12.7	2gene	2	NA	1.77	1.122	0
Gm12.7	2gene	2	NA	1.662	0.279	0
Gm12.7	2gene	2	NA	1.261	1.714	0
Gm12.7	2gene	2	NA	0.439	1.104	0
Gm12.7	2gene	2	NA	2.09	1.807	0
Gm12.7	2gene	2	NA	0.265	0.324	0
Gm12.7	2gene	2	NA	1.401	1.145	0
Gm12.7	2gene	2	NA	2.165	1.524	0
Gm12.7	2gene	2	NA	0.623	0.634	0
Gm12.7	2gene	2	NA	1.311	0	0
Gm12.7	2gene	2	NA	0.396	0	0
Gm12.7	2gene	2	NA	0.255	0	0
Gm12.7	2gene	2	NA	1.806	0	0
Gm12.7	2gene	2	NA	0.903	0	0
Gm12.7	2gene	7	13.573	1.501	1.297	0.662
Gm12.7	2gene	7	18.314	1.336	1.182	0.38
Gm12.7	2gene	7	32.025	0.553	0.418	0.636
Gm12.7	2gene	7	40.101	0.4	0.964	1.026
Gm12.7	2gene	7	48.433	0.751	0.935	0
Gm12.7	2gene	7	43.762	0.81	0.351	0
Gm12.7	2gene	7	NA	1.117	0.799	0
Gm12.7	2gene	7	NA	1.259	2.273	0
Gm12.7	2gene	7	NA	1.224	2.285	0
Gm12.7	2gene	7	NA	0.491	0.634	0
Gm12.7	2gene	7	NA	1.081	0.638	0
Gm12.7	2gene	7	NA	2.464	0.761	0
Gm12.7	2gene	7	NA	0.134	1.479	0
Gm12.7	2gene	7	NA	0.703	1.79	0
Gm12.7	2gene	7	NA	2.676	1.685	0
Gm12.7	2gene	7	NA	0.772	1.67	0
Gm12.7	2gene	7	NA	0.809	0	0
Gm12.7	2gene	7	NA	0.921	0	0
Gm12.7	2gene	7	NA	1.801	0	0
Gm12.7	2gene	7	NA	2.048	0	0
Gm12.7	2gene	7	NA	1.853	0	0
Gm12.7	2gene	7	NA	1.963	0	0
Gm12.7	2gene	7	NA	0.785	0	0
Gm12.7	2gene	7	NA	0.142	0	0
Gm12.7	2gene	8	7.878	1.905	1.692	0.85
Gm12.7	2gene	8	24.497	1.147	0.956	1.114
Gm12.7	2gene	8	20.554	1.738	1.428	0
Gm12.7	2gene	8	36.412	1.496	1.237	0
Gm12.7	2gene	8	41.915	0.834	0.641	0
Gm12.7	2gene	8	41.093	0.96	0.87	0
Gm12.7	2gene	8	NA	0.944	0.838	0
Gm12.7	2gene	8	NA	1.1	0.903	0
Gm12.7	2gene	8	NA	1.968	1.563	0
Gm12.7	2gene	8	NA	1.097	0.176	0
Gm12.7	2gene	8	NA	1.243	1.087	0
Gm12.7	2gene	8	NA	0.398	1.232	0
Gm12.7	2gene	8	NA	1.301	0.915	0
Gm12.7	2gene	8	NA	1.475	1.358	0
