Genotype	Deletions	Plant	LeafNum	Leaftot	LeafLengthAvg	Height	NodNum	NodTot	NodAvg	NodMax	PinkNum	PinkTot	PinkAvg	PinkMax	PinkNodRatio	GreenNum	GreenTot	GreenAvg	GreenMax
HM340	0gene	34	5	189.529	37.9058	45.717	22	22.59	1.0268182	2.517	21	15.277	0.694409091	1.885	0.676272687	3	1.588	0.07218182	0.75
HM340	0gene	35	7	273.209	39.02986	63.872	27	23.101	0.8555926	1.58	25	15.948	0.590666667	1.313	0.6903597247	2	1.72	0.0637037	1.102
HM340	0gene	36	4	115.124	28.781	36.134	7	8.949	1.2784286	2.042	5	4.502	0.643142857	1.648	0.503072969	4	1.761	0.25157143	0.724
HM340	0gene	37	8	307.546	38.44325	55.209	16	16.281	1.0175625	4.882	14	10.408	0.6505	3.241	0.6392727719	3	1.582	0.098875	0.93
HM340	0gene	38	7	266.645	38.09214	56.103	13	25.475	1.9596154	3.053	13	20.231	1.556230769	2.425	0.7941511286	3	0.498	0.03830769	0.193
MPC1.2	5gene	1	6	125.606	20.93433	33.863	35	15.893	0.4540857	0.977	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	2	4	53.35	13.3375	22.034	36	11.447	0.3179722	0.686	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	3	4	63.932	15.983	24.679	29	9.495	0.3274138	0.549	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	4	3	47.225	15.74167	20.136	46	14.167	0.3079783	0.649	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	5	5	133.449	26.6898	40.304	31	10.058	0.3244516	0.79	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	6	3	65.991	21.997	29.312	42	12.89	0.3069048	0.705	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	7	7	200.696	28.67086	46.736	21	15.564	0.7411429	4.262	2	4.442	0.21152381	2.41	0.2854022102	2	1.673	0.07966667	1.038
MPC1.2	5gene	8	3	65.808	21.936	27.785	30	12.019	0.4006333	0.691	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	9	5	94.618	18.9236	25.448	45	14.653	0.3256222	0.607	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	10	7	157.844	22.54914	34.838	30	16.2	0.54	2.036	6	5.754	0.1918	1.457	0.3551851852	0	0	0	0
MPC1.2	5gene	11	2	51.258	25.629	28.7	41	10.895	0.2657317	0.741	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	12	5	94.784	18.9568	28.832	48	12.322	0.2567083	0.62	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	13	5	102.557	20.5114	37.544	23	7.404	0.321913	0.681	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	14	2	7.769	3.8845	4.267	1	0.273	0.273	0.273	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	15	3	67.285	22.42833	28.565	27	9.51	0.3522222	0.541	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	16	4	81.108	20.277	30.608	32	10.484	0.327625	0.784	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	17	5	108.535	21.707	41.711	33	11.503	0.3485758	0.661	0	0	0	0	0	0	0	0	0
MPC1.2	5gene	18	7	128.727	18.38957	25.431	47	12.192	0.2594043	0.714	0	0	0	0	0	0	0	0	0
tRNA18.1	1gene	1	5	148.603	29.7206	47.293	15	10.509	0.7006	1.354	14	4.994	0.332933333	0.711	0.4752117233	0	0	0	0
tRNA18.1	1gene	3	5	135.373	27.0746	42.12	20	17.819	0.89095	1.858	15	9.528	0.4764	1.393	0.5347101409	0	0	0	0
tRNA18.1	1gene	7	5	163.723	32.7446	43.231	22	20.56	0.9345455	1.657	19	10.895	0.495227273	1.058	0.5299124514	3	3.027	0.13759091	1.11
tRNA18.1	1gene	11	6	176.619	29.4365	45.114	18	19.956	1.1086667	1.79	16	11.91	0.661666667	1.266	0.5968129886	1	0.765	0.0425	0.765
tRNA18.1	1gene	16	6	173.007	28.8345	46.511	15	12.765	0.851	1.435	9	5.984	0.398933333	1.174	0.4687818253	3	1.687	0.11246667	0.734

